,title,description,originallink,link,pubDate
461,"현대차·아람코·KAUST, 내연기관차 탄소저감 연구 나선다",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력·시설을 지원하고 모델링·검증으로 연구 성과에 대한 시너지를 창출한다는... ,http://www.newsis.com/view/?id=NISX20220330_0001813052&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/003/0011091777?sid=101,"Wed, 30 Mar 2022 09:46:00 +0900"
462,"현대차그룹.아람코.KAUST, 친환경 엔진 및 연료 공동 연구",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조된 연료를 뜻한다. 친환경 합성연료의 가장... 킹 압둘라 과학기술 대학은 연구 인력 및 시설을 지원함으로써 엔진 시험을 비롯한 모델링 및 검증으로 연구... ,http://www.sportsseoul.com/news/read/1109810?ref=naver,https://n.news.naver.com/mnews/article/468/0000818226?sid=103,"Wed, 30 Mar 2022 09:43:00 +0900"
463,"현대차그룹·아람코·KAUST, 온실가스 저감 위한 친환경 엔진·연료 개발",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조된 연료를 뜻한다. 친환경 합성연료의 가장... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획이다. 현대차그룹... ,http://www.nextdaily.co.kr/news/articleView.html?idxno=204448,http://www.nextdaily.co.kr/news/articleView.html?idxno=204448,"Wed, 30 Mar 2022 09:42:00 +0900"
464,"현대차그룹, 사우디 아람코와 친환경 엔진 공동개발",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조된 연료를 의미합니다. 이번 공동연구는 전기차... 킹 압둘라 과학기술 대학은 연구 인력 및 시설을 지원함으로써 엔진 시험을 비롯한 모델링 및 검증으로 연구... ,https://biz.sbs.co.kr/article_hub/20000056347?division=NAVER,https://n.news.naver.com/mnews/article/374/0000280446?sid=101,"Wed, 30 Mar 2022 09:41:00 +0900"
465,"현대차그룹, 아람코-KAUST와 내연기관차 친환경 엔진·연료 개발",수소와 대기에서 포집한 이산화탄소의 촉매 반응을 통해 제조한 연료를 뜻한다. 친환경 합성연료의 가장 큰... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출할 계획이다. 특히 이번 연구에서는 친환경... ,http://www.newsworks.co.kr/news/articleView.html?idxno=594374,http://www.newsworks.co.kr/news/articleView.html?idxno=594374,"Wed, 30 Mar 2022 09:38:00 +0900"
466,"현대차그룹·아람코·KAUST, 온실가스 저감 위한 친환경 엔진·연료 개발 '맞...",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해하여 생산한 수소와 대기에서 포집한... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획이다. 친환경 엔진-연료 개발 흐름도... ,http://www.worktoday.co.kr/news/articleView.html?idxno=23786,http://www.worktoday.co.kr/news/articleView.html?idxno=23786,"Wed, 30 Mar 2022 09:38:00 +0900"
467,"현대차그룹, 친환경 엔진·연료 개발 속도…아람코·KAUST와 맞손",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... KAUST는 연구 인력 및 시설을 지원해 엔진 시험을 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출할... ,https://news.mtn.co.kr/news-detail/2022033008544911619,https://news.mtn.co.kr/news-detail/2022033008544911619,"Wed, 30 Mar 2022 09:34:00 +0900"
468,"""에너지 전환 과도기, 적합한 엔진·연료 찾자""…현대차·사우디 아람코 맞손","친환경 합성연료는 기존 연료와 달리 물을 전기분해해 생산한 수소와 대기에서 포집한 이사화탄소의... 앞으로 2년간 진행키로 했으며 킹 압둘라 대학은 연구인력과 시설을 지원해 엔진 시험과 모델링, 검증도 맡는다. 특히... ",https://view.asiae.co.kr/article/2022033009304839538,https://n.news.naver.com/mnews/article/277/0005065932?sid=101,"Wed, 30 Mar 2022 09:30:00 +0900"
469,"현대차그룹, 아람코·KAUST와 친환경 엔진·연료 개발한다",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 만든 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력 및 시설을 지원해 엔진 시험을 비롯한 모델링 및 검증으로 연구 성과에 대한... ,http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=03&c1=03&c2=03&c3=00&nkey=202203300926081,http://autotimes.hankyung.com/apps/news.sub_view?popup=0&nid=03&c1=03&c2=03&c3=00&nkey=202203300926081,"Wed, 30 Mar 2022 09:30:00 +0900"
470,"현대차·아람코, 내연기관차 온실가스 저감 공동연구 나선다",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력과 시설을 지원해 엔진 시험을 비롯한 모델링과 검증으로 연구 성과에 대한... ,http://theviewers.co.kr/View.aspx?No=2255238,http://theviewers.co.kr/View.aspx?No=2255238,"Wed, 30 Mar 2022 09:28:00 +0900"
471,"현대차그룹-아람코, 친환경 엔진·연료 개발",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 킹 압둘라 과학기술 대학은 연구 인력·시설을 지원해 엔진 시험을 비롯한 모델링과 검증으로 연구 성과에 대한... ,http://www.dt.co.kr/contents.html?article_no=2022033002109932064001&ref=naver,https://n.news.naver.com/mnews/article/029/0002727206?sid=103,"Wed, 30 Mar 2022 09:26:00 +0900"
472,"""전기차와의 공존"" 현대차, 사우디 아람코와 '친환경 내연기관' 연구나서",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 비롯한 모델링 및 검증으로 연구 성과에 대한 시너지를 창출한다는 계획입니다. 특히 이번 연구에서는 친환경... ,https://www.newsclaim.co.kr/news/articleView.html?idxno=3005731,https://www.newsclaim.co.kr/news/articleView.html?idxno=3005731,"Wed, 30 Mar 2022 09:26:00 +0900"
473,"현대차그룹·아람코·KAUST, 온실가스 저감 위한 엔진·연료 개발 맞손",친환경 합성연료는 기존 연료 제조 방식과 달리 물을 전기 분해해 생산한 수소와 대기에서 포집한... 비롯한 모델링과 검증으로 연구 성과의 시너지를 창출할 계획이다. 이번 연구에서는 친환경 합성연료를 일반... ,http://www.newscape.co.kr/news/articleView.html?idxno=81471,http://www.newscape.co.kr/news/articleView.html?idxno=81471,"Wed, 30 Mar 2022 09:24:00 +0900"
