,title,description,originallink,link,pubDate
159,"SK·SK에너지, 미국 에너지솔루션 기업 아톰파워 인수","사용 <b>데이터</b>를 측정하고, 수집하는 역할도 담당한다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지 저장장치(ESS) 충·방전량 등으로 다양하다. 회로차단기가 모은... ",http://www.newstomato.com/ReadNews.aspx?no=1141689&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1141689&inflow=N,"Thu, 18 Aug 2022 08:52:00 +0900"
160,"SK㈜-SK에너지, 美 에너지솔루션 전문기업 &apos;ATOM POWER&apos; 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지... ",http://www.econonews.co.kr/news/articleView.html?idxno=256823,http://www.econonews.co.kr/news/articleView.html?idxno=256823,"Thu, 18 Aug 2022 08:52:00 +0900"
161,"CJ온스타일, 여성이 가장 좋아하는 홈쇼핑…롯데·현대홈쇼핑 빅3 형성",18일 데이터앤리서치는 블로그·카페·유튜브·트위터·인스타그램·페이스북·카카오스토리 등 7개 채널을 대상으로 국내 홈쇼핑 7개사를 포스팅한 유저들의 프로필을 <b>빅데이터</b> 분석했다고 밝혔다. 프로필 조사는... ,http://www.thebigdata.co.kr/view.php?ud=20220817162016728696085a06ef_23,http://www.thebigdata.co.kr/view.php?ud=20220817162016728696085a06ef_23,"Thu, 18 Aug 2022 08:52:00 +0900"
162,&quot;키·몸무게 입력하면 건강관리 직접 해줘요&quot;,"SK㈜ C&amp;C, 사용자 맞춤형 건강관리 플랫폼 &apos;킵웰&apos; 출시 SK㈜ C&amp;C는 18일 <b>데이터</b> 기반 사용자 맞춤형 건강관리 플랫폼 &apos;킵웰(KeepWell)&apos;을 출시했다고 밝혔다. &apos;킵웰&apos;은 SK㈜ C&amp;C가 운영 중인 클라우드 온 클라우드형 AI·<b>데이터</b>... ",http://www.g-enews.com/ko-kr/news/article/news_all/20220818084711261386fbbc3c26_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/20220818084711261386fbbc3c26_1/article.html,"Thu, 18 Aug 2022 08:50:00 +0900"
163,"LGU+, 희망퇴직 받고도 통신사 중 유일하게 인력 늘어…사업재편에 충원","18일 대기업집단 전문 데이터서비스 인포빅스에 따르면 올해 상반기 LG유플러스의 직원 수는 1만354명으로... LG유플러스는 인공지능(AI)과 <b>빅데이터</b>, 클라우드뿐 아니라 콘텐츠, 스마트 솔루션 등 주요 분야에서... ",http://news.einfomax.co.kr/news/articleView.html?idxno=4229208,http://news.einfomax.co.kr/news/articleView.html?idxno=4229208,"Thu, 18 Aug 2022 08:50:00 +0900"
164,"캠시스, 핸드셋 상장기업 브랜드평판 8월 1위…&quot;평판지수 두자릿 수 상승&quot;","<b>빅데이터</b>로 분석한 결과, 1위 캠시스 2위 영풍 3위 엠씨넥스 순으로 나타났다. ​​ 18일 한국기업평판연구소(소장 구창환)는 핸드셋 상장기업 브랜드에 대해서 <b>빅데이터</b> 분석을 활용한 브랜드 평판조사를... ",http://www.thebigdata.co.kr/view.php?ud=20220818083907522407d270612f_23,http://www.thebigdata.co.kr/view.php?ud=20220818083907522407d270612f_23,"Thu, 18 Aug 2022 08:50:00 +0900"
165,헬스케어 디지털 트윈,신용정보법에서 마이<b>데이터</b> 사업을 허용하면서 다양한 사업자가 기존 보유 <b>데이터</b> 풀 및 새로운 <b>데이터</b> 풀을 활용한 다양한 사업에 관심을 갖고 있는데 그 중 각광을 받고 있는 것이 헬스케어 분야이다. 실제 국내 주요... ,https://www.lawtimes.co.kr/Legal-Opinion/Legal-Opinion-View?serial=180925,https://www.lawtimes.co.kr/Legal-Opinion/Legal-Opinion-View?serial=180925,"Thu, 18 Aug 2022 08:50:00 +0900"
166,"[앱세상] MZ골퍼는 &apos;스크린골프장&apos;, 5060세대는 &apos;필드&apos;가 더 좋아!","<b>빅데이터</b> 플랫폼 기업 아이지에이웍스의 모바일인덱스 분석 결과, 2022년 5월 기준 스크린골프... [데이터 기준] 2022년 3월~5월 기준 5060세대 &apos;기성골퍼&apos;들은 &apos;스크린 골퍼 페르소나 그룹&apos;인... ",https://www.gametoc.co.kr/news/articleView.html?idxno=67770,https://www.gametoc.co.kr/news/articleView.html?idxno=67770,"Thu, 18 Aug 2022 08:48:00 +0900"
167,유럽 최대 기술해커톤 &apos;정션&apos; 아시아판 부산서 펼쳐진다.,"또한, 우수팀(1개 팀)을 선정해 부산<b>빅데이터</b>혁신센터 육성프로그램에 참가하여 기술을 상품화하거나 창업을 할 수 있는 기회가 부여된다. 3일간 열리는 &apos;정션 아시아&apos;는 ▲19일에는 개회식, 트랙 과제 소개 및 팀... ",http://www.smartcitytoday.co.kr/news/articleView.html?idxno=24237,http://www.smartcitytoday.co.kr/news/articleView.html?idxno=24237,"Thu, 18 Aug 2022 08:48:00 +0900"
168,"캠시스, 핸드셋 상장기업 8월 브랜드평판 1위···엠씨넥스 3위로 상승","  핸드셋 상장기업 브랜드평판 2022년 8월 <b>빅데이터</b> 분석결과, 1위 캠시스 2위 영풍 3위 엠씨넥스 순으로 분석됐다.​​ 한국기업평판연구소는 핸드셋 상장기업 브랜드에 대해서 <b>빅데이터</b> 분석을 활용한... ",https://www.enetnews.co.kr/news/articleView.html?idxno=6550,https://www.enetnews.co.kr/news/articleView.html?idxno=6550,"Thu, 18 Aug 2022 08:46:00 +0900"
169,[로펌 공익단체 탐방] 사단법인 ‘선’… 기후위기 비롯 생태·환경 문제에 적...,"빅테크 대기업이 <b>데이터</b> 소유권을 독점하는 웹2.0 에서 벗어나 탈중앙화를 추구하는 웹 3.0은 직원, 고객, 지역사회, 주주 등 다양한 이해관계자를 만족시키는 ‘이해관계자 자본주의’를 구현할 수 있다는 긍정적 전망이... ",https://www.lawtimes.co.kr/Legal-News/Legal-News-View?serial=180933,https://www.lawtimes.co.kr/Legal-News/Legal-News-View?serial=180933,"Thu, 18 Aug 2022 08:46:00 +0900"
170,"현대건설, 건설회사 8월 브랜드평판 톱…삼성물산·대우건설 순","<b>빅데이터</b> 분석결과, 1위 현대건설 2위 삼성물산 3위 대우건설 순으로 나타났다. ​​ 18일 한국기업평판연구소(소장 구창환)는 지난 7월 18일부터 8월 18일까지 건설회사 브랜드 30개의 <b>빅데이터</b> 2,440만4,399개를... ",http://www.thebigdata.co.kr/view.php?ud=20220818084036793207d270612f_23,http://www.thebigdata.co.kr/view.php?ud=20220818084036793207d270612f_23,"Thu, 18 Aug 2022 08:46:00 +0900"
171,"SK(주)·SK에너지, 美 에너지솔루션 전문기업 &apos;아톰파워&apos; 인수","사용 <b>데이터</b>를 측정하고 수집하는 역할도 한다. 아톰파워가 자체 개발한 전류센서와 소프트웨어 덕분이다. 아톰파워의 회로차단기가 수집하는 <b>데이터</b>는 전력 사용량, 태양광 발전량, 전기차 충전량, 에너지... ",http://www.goodkyung.com/news/articleView.html?idxno=184992,http://www.goodkyung.com/news/articleView.html?idxno=184992,"Thu, 18 Aug 2022 08:46:00 +0900"
172,"신세계, 광주에 스타필드·백화점 개발 동시 추진","블록체인 결제, 디지털 미디어, 인공지능·메타버스·NFT 등 다양한 기술로 고객 경험을 극대화하며, 지역 대학·스타트업과 협업해 <b>빅데이터</b>를 활용한 새로운 서비스도... ",http://www.breaknews.com/916849,http://www.breaknews.com/916849,"Thu, 18 Aug 2022 08:46:00 +0900"
173,"농어촌공사, 내년부터 재해예방을 위한 스마트통합시스템 구축","통합 계측장치를 설치하면 상류부 유입량, 저수위, 제방누수 및 변위 계측을 통해종합적인예·경보 체계를 구축할 수 있고 계측된 자료로 <b>빅데이터</b>구축과 디지털 트윈... ",http://www.breaknews.com/916842,http://www.breaknews.com/916842,"Thu, 18 Aug 2022 08:46:00 +0900"
