,title,description,originallink,link
724,<b>빅데이터</b>로 본 최근 급등세 솔라나(SOL) VS 시바이누(SHIB) 트렌드,"※ 관련 기사 1: &apos;이더리움 경쟁자&apos; 솔라나, 사상최고가 경신...&apos;톱&apos; <b>분석가</b>, SOL 목표가 900달러 제시... <b>빅데이터</b> 분석 플랫폼 썸트렌드와 함께 모두 확인해보자. 솔라나 vs 시바이누, 언급량 추이는? 10월 18일부터... ",http://coinreaders.com/12926,http://coinreaders.com/12926
725,[조이럭의 롤드컵 돋보기] 담원 기아가 보여준 큰 설계,"데일리e스포츠는 2021 리그오브레전드 월드 챔피언십(롤드컵)서 &apos;조이럭&apos; 윤덕진 e스포츠 <b>데이터</b> 분석 전문 기업 ‘게임아이(GameEye)’ 대표가 참여한 기획 기사를 제공합니다. 윤덕진 대표는 리그 해설, <b>분석가</b>, 코치... ",http://www.dailyesports.com/view.php?ud=202110250907188536b91e133c1f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000157546
726,[인터뷰] &quot;&apos;프로젝트 중심 교육&apos;으로 교육생의 커리어패스까지 책임진다&quot;,청년들이 처음 <b>데이터</b> 업계에 발을 들이면 대부분 업계 일선의 <b>분석가</b>보다는 <b>데이터</b> 전처리 같은 엔지니어 역할로 가게 된다. 기업 입장에서는 아직 능력이 검증되지 않은 사람에게 기업의 중요한 <b>데이터</b>를 맡길 수는... ,http://www.itdaily.kr/news/articleView.html?idxno=204789,http://www.itdaily.kr/news/articleView.html?idxno=204789
727,"뉴욕증시, 이번 주 빅테크 실적이 최고가 향방 결정",사메르 사마나 웰스파고 글로벌 시장<b>분석가</b>는 &quot;이들이 계속 좋은 실적을 나타낼 수 있을지는 의문&quot;이라고... 지난주 미국의 소비자 감시단체인 &apos;소비자 감시단&apos;은 거대 기술기업에 소비자 결제 <b>데이터</b>를 수집하고... ,http://www.joseilbo.com/news/news_read.php?uid=436277&class=42&grp=,https://n.news.naver.com/mnews/article/123/0002257689?sid=104
728,"생각이 자본이 되는 시대, 당신은 무엇을 보여줄 것인가?","이 책은 <b>데이터 분석가</b> 송길영이 바라본 10년의 변화상, 10년의 미래상을 담고 있다. 우리는 흔히 &apos;미래를 알 수 없다&apos;고 생각하지만, 그렇지 않다. 과거와 지금을 보고, 그 안에 담긴 사람들의 욕망을 이해할 수 있으면... ",https://premium.mk.co.kr/view.php?no=30983,https://n.news.naver.com/mnews/article/009/0004869045?sid=103
729,&apos;K자형 양극화&apos; 키우는 디지털 격차 [아침을 열며],"정부는 이들 기업에 대한 철퇴와 채찍질 규제 대신, 통신복지기금 분담은 물론 취약계층 PC보급 확대 및 디지털 역량강화 프로그램 추진 등에 대한 혜택을 보장하는 당근책 마련에 힘써야 한다. 전승화 <b>데이터분석가</b>·작가",https://hankookilbo.com/News/Read/A2021102213410000790?did=NA,https://n.news.naver.com/mnews/article/469/0000636868?sid=110
730,"신한銀, 직원 1만4000명에 태블릿PC 준 까닭",<b>데이터 분석가</b> 1000명 양성을 위한 프로젝트도 진행중이다. 전직원을 대상으로 단계별 교육을 실시해 최종적으로 1000명의 <b>빅데이터</b> 전문가를 육성하게 되는 것. 간단한 <b>데이터</b> 분석은 직접 직원들이 가능하게 하는 것이... ,http://www.fnnews.com/news/202110241809072620,https://n.news.naver.com/mnews/article/014/0004728034?sid=101
731,[조이럭의 롤드컵 돋보기] 아펠리오스 하나로 이긴 T1,"데일리e스포츠는 2021 리그오브레전드 월드 챔피언십(롤드컵)서 &apos;조이럭&apos; 윤덕진 e스포츠 <b>데이터</b> 분석 전문 기업 ‘게임아이(GameEye)’ 대표가 참여한 기획 기사를 제공합니다. 윤덕진 대표는 리그 해설, <b>분석가</b>, 코치, 에버8... ",http://www.dailyesports.com/view.php?ud=202110231034426129b91e133c1f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000157527
732,&apos;디지털 닥터&apos; 등 포스트 코로나 시대 직업 설계의 장 성료,"강현직(전 전북개발원장) 심사위원장은 &quot;선정된 우수 사례에는 4차 산업과 연계된 <b>빅데이터</b> 큐레이터, 사이버 도시 <b>분석가</b>, 스마트 건설 전문가, 육아 심리 관리사 등 신선한 직업과 함께 &apos;디지털 닥터&apos; 등... ",https://jhealthmedia.joins.com/article/article_view.asp?pno=24652,https://jhealthmedia.joins.com/article/article_view.asp?pno=24652
733,[취업소식] 2021 하반기 채용 적극적으로 나서는 IT 기업들,"모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 지난 3월 처음 선보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의 새로운... ",http://www.dailypop.kr/news/articleView.html?idxno=54980,http://www.dailypop.kr/news/articleView.html?idxno=54980
734,‘<b>데이터</b> 엔지니어·아키텍트’ 수요 뜨겁다··· 인기 자격증 8종,"<b>빅데이터</b> 이니셔티브를 성공적으로 수행하려면 <b>데이터</b> 과학자와 <b>데이터 분석가</b>만으론 부족하다.... 있는 <b>빅 데이터</b> 플랫폼 지식과 독점 및 오픈소스 개발자 도구(H베이스(HBase), 하이브(Hive), 피그... ",https://www.ciokorea.com/news/211659,https://www.ciokorea.com/news/211659
735,"생각이 자본인 시대, 당신은 뭘 보여줄 것인가","최고 <b>데이터 분석가</b> 송길영의 &lt;그냥 하지 말라&gt; 흔히 &quot;미래를 알 수 없다&quot;고 생각하지만, 그렇지 않다. 과거와 지금을 보고, 그 안에 담긴 사람들의 욕망을 이해할 수 있으면 미래의 변화를 상당 부분 알 수 있다. 자타공인... ",http://munhaknews.com/?p=55370,http://munhaknews.com/?p=55370
736,[조이럭의 롤드컵 돋보기] 8강 앞두고 변화된 최신 메타는?,"데일리e스포츠는 2021 리그오브레전드 월드 챔피언십(롤드컵)서 &apos;조이럭&apos; 윤덕진 e스포츠 <b>데이터</b> 분석 전문 기업 ‘게임아이(GameEye)’ 대표가 참여한 기획 기사를 제공합니다. 윤덕진 대표는 리그 해설, <b>분석가</b>, 코치... ",http://www.dailyesports.com/view.php?ud=20211021114755694b91e133c1f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000157469
737,"[데일리 IT 단신] KT, 헬스케어 스타트업 투자 본격화 外",어소시에이트(Associate)는 AI를 통한 업무혁신을 원하는 기획<b>분석가</b>와 준전공자 및 전공자를 대상으로 한다. 프로페셔널(Professional)은  다양한 종류의 <b>데이터</b>를 다루면서 AI 기술을 활용해 비즈니스 문제 해결을 주도할... ,http://biz.newdaily.co.kr/site/data/html/2021/10/21/2021102100095.html,http://biz.newdaily.co.kr/site/data/html/2021/10/21/2021102100095.html
738,"‘인재 찾아라’ 시장 바꾸는 디지털 기업들, 하반기 채용 열 올린다","모집 부문은 서버개발자, 프론트엔드 개발자, 원장 개발자를 비롯해 <b>데이터 분석가</b>, 제품 디자이너, 보안 엔지니어 등 총 18개 직무다. 올 3월 첫 선을 보인 토스증권 MTS(모바일트레이딩서비스)는 고객 중심의 새로운... ",https://magazine.hankyung.com/job-joy/article/202110212752d,https://magazine.hankyung.com/job-joy/article/202110212752d
739,[더벨]&apos;범농협 <b>빅데이터</b> 플랫폼&apos; 구축 준비 돌입,<b>데이터 분석가</b>들이 <b>빅데이터</b>를 갖고 모델링을 할 수 있는 가상공간 솔루션을 꾸릴 계획이다. 내년에 인프라를 구축하고 플랫폼을 고도화해 상용화할 예정이다. 농협중앙회 관계자는 &quot;농협은행이 앞서서 <b>빅데이터</b>를... ,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202110191446178240102869,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202110191446178240102869
